,Black,Hispanic,Other,White,X,Y,AP and/or IB,Calculus,FTE School Counselors,lat,long,Total_SAT_ACT,Total_students
84,1.9,12.5,6.599999999999994,79.0,930754.4413044921,131639.29062291302,Yes,Yes,13.8,40.527833417332616,-74.1924323767639,884.0,3907.0
85,70.6,26.4,2.4000000000000057,0.6,1013381.28870801,182318.389354822,No,No,2.0,40.66705063070175,-73.89499127865929,29.0,333.0
86,79.9,13.2,3.8999999999999915,3.0,995059.3358501879,183398.54679919398,Yes,No,1.0,40.67005674919287,-73.96103414882681,23.0,234.0
87,37.0,55.3,5.400000000000006,2.3,987401.375894494,219075.822981032,No,No,1.0,40.76798831636322,-73.98862311172535,4.0,311.0
88,25.9,56.1,15.900000000000006,2.1,987961.23929763,199185.29688537802,No,No,1.0,40.71339355423471,-73.98661290403824,19.0,189.0
89,16.4,16.4,25.0,42.2,990882.022220995,200964.977838614,No,Yes,3.0,40.718276645000294,-73.976075370976,152.0,536.0
90,40.5,52.9,4.900000000000006,1.7,986187.6104280159,218153.665324354,Yes,No,2.0,40.76545758182302,-73.99300523313309,26.0,410.0
91,38.4,43.5,10.200000000000003,7.9,987200.304194905,200494.89325299105,Yes,Yes,0.0,40.71698836955439,-73.98935715744109,48.0,354.0
92,24.1,68.0,6.199999999999989,1.7,986116.1723833572,218194.833011106,Yes,Yes,1.0,40.7655705918482,-73.99326311279373,59.0,403.0
93,31.7,51.3,15.5,1.5,986049.967008359,200274.001616397,Yes,No,1.0,40.71638238378283,-73.99350690979142,126.0,476.0
94,68.0,26.1,4.599999999999994,1.3,996977.862568952,231666.846180596,Yes,No,3.0,40.80253871058471,-73.9540268625217,32.0,394.0
95,34.9,61.4,2.0,1.7,998812.714131836,237057.683888341,No,No,3.0,40.81733222822147,-73.94738767101096,22.0,407.0
96,22.6,75.7,1.0,0.7,1013870.25516849,238202.239922702,Yes,No,1.0,40.82043605431561,-73.89298261467172,25.0,588.0
97,28.3,67.5,3.299999999999997,0.9,1024237.74824921,238775.2370483289,Yes,Yes,2.0,40.82196791898357,-73.85552171559064,56.0,459.0
98,44.0,51.2,3.1999999999999886,1.6,1012702.42903795,240771.8447412889,No,No,1.0,40.82749272437401,-73.89719104687674,6.0,125.0
99,28.2,61.9,8.600000000000009,1.3,1024070.53223338,238742.08214863692,Yes,No,1.0,40.821877673685634,-73.85612607338022,26.0,312.0
100,21.7,76.6,0.7999999999999972,0.9,1011801.529658,243509.960694506,Yes,No,2.0,40.8350109179251,-73.90043507496307,102.0,738.0
101,44.6,51.1,1.9000000000000057,2.4,1010853.80942333,243128.83074779602,Yes,No,2.0,40.83396773258612,-73.90386142788944,89.0,419.0
102,57.3,39.4,2.9000000000000057,0.4,1012701.07005435,247240.29592335198,No,No,2.0,40.84524674266198,-73.89716851969193,42.0,569.0
103,33.8,64.1,1.5000000000000142,0.6,1011347.58361759,245016.611288925,Yes,Yes,2.0,40.839147639133074,-73.90206944375667,91.0,624.0
104,20.2,75.3,2.299999999999997,2.2,1015010.08302356,252606.36221139,Yes,Yes,3.0,40.85996724670546,-73.88879837871407,99.0,583.0
105,32.1,63.9,2.1999999999999886,1.8,1008278.42508587,259223.289801595,Yes,No,3.0,40.87814957351821,-73.91311043430615,72.0,396.0
106,26.2,71.0,2.200000000000003,0.6,1015322.86267513,244177.889167103,Yes,No,4.0,40.8368324993692,-73.88770670195008,26.0,669.0
107,25.8,70.3,3.0,0.9,1010699.21237834,240671.63964852106,No,No,2.0,40.82722391603723,-73.90442978482096,17.0,445.0
108,30.5,60.3,4.799999999999997,4.4,996731.942402199,199937.379283156,Yes,Yes,2.0,40.71544981416614,-73.95497403722071,84.0,574.0
109,15.1,70.4,4.700000000000003,9.8,996841.141274985,199848.141494643,Yes,Yes,2.0,40.71520472307666,-73.95458029240288,173.0,683.0
110,87.5,7.4,3.700000000000003,1.4,1000026.27410743,179438.84763034,No,No,2.0,40.65918079754624,-73.94313843550091,25.0,296.0
111,26.2,47.1,16.39999999999999,10.3,994966.189441433,183422.20302998892,No,No,1.0,40.67012179349045,-73.96136988842952,66.0,416.0
112,1.9,49.3,35.3,13.5,1002249.20352769,210529.551402757,No,Yes,1.0,40.74451322315896,-73.93504335936011,54.0,519.0
113,7.2,52.0,25.5,15.3,1001713.52871279,210446.193143415,Yes,Yes,1.0,40.74428549970047,-73.93697675157267,140.0,515.0
114,10.6,26.9,15.200000000000017,47.3,949682.4217523392,156964.516564114,Yes,Yes,10.0,40.59744013622724,-74.12447486642974,616.0,3388.0
115,52.8,19.6,13.099999999999994,14.5,1001767.35052924,155541.214072339,No,No,1.0,40.59358355944392,-73.93692519118345,10.0,235.0
117,17.7,17.8,20.799999999999997,43.7,998665.934185192,161489.362797754,Yes,Yes,12.0,40.609915603749016,-73.94807977862936,450.0,3250.0
118,23.4,36.4,37.300000000000004,2.9,1029608.53802898,186697.132132692,Yes,Yes,14.0,40.67900101142758,-73.83646802338329,191.0,2386.0
119,18.7,46.9,29.400000000000006,5.0,1032947.50490479,208417.476777732,Yes,Yes,15.0,40.73860035257034,-73.8242729220213,742.0,3562.0
121,39.4,57.4,2.4000000000000057,0.8,1022663.71634239,258109.057761833,No,No,3.0,40.87504046700075,-73.86109801636327,40.0,498.0
122,34.4,63.8,1.200000000000017,0.6,1010920.57579933,240604.592073894,No,No,2.0,40.827039224022535,-73.90363018886283,21.0,326.0
123,22.5,73.2,2.5999999999999943,1.7,1008723.97922135,193154.10427143693,Yes,Yes,2.0,40.69680628737677,-73.91173998151201,4.0,231.0
124,21.1,75.1,2.0,1.8,1008720.07297135,193285.614688103,Yes,Yes,2.0,40.69716726349792,-73.91175359075525,46.0,389.0
126,36.8,59.1,3.4000000000000057,0.7,1008736.93739861,245252.739490603,Yes,No,2.0,40.83980336687047,-73.91150343961368,23.0,296.0
