AP/IB,Calculus,Counselors,FracSAT/ACT,black,Hispanic,white,lat,long,gis_x,gis_y,neigh1,neigh2,neigh3,neigh4,neigh5
0.0,0.0,0.0,0.08256880733944955,0,1,0,40.74321565493945,-74.00246546368318,983566.8173332772,210050.141984006,238,289,327,128,279
1.0,0.0,1.0,0.17995910020449898,0,1,0,40.79291032093957,-73.94715747998642,998881.796866508,228159.961747648,187,160,304,40,141
0.0,0.0,0.0,0.14285714285714285,1,0,0,40.81745261524293,-73.94713931285688,998881.431405502,237101.58659096,90,149,331,329,189
0.0,0.0,2.0,0.09936575052854123,0,1,0,40.71184608463976,-73.93973218519481,1000958.13889124,198626.970866648,34,121,321,259,104
1.0,0.0,2.0,0.13948919449901767,0,1,0,40.711979294990094,-73.93917476213808,1001112.64041718,198675.61023592603,33,121,321,259,104
0.0,1.0,3.0,0.1859903381642512,0,1,0,40.73760459585407,-73.85342850909137,1024868.52110484,208039.827915503,166,310,320,334,173
0.0,0.0,1.0,0.05907172995780591,0,1,0,40.72228680440021,-73.99051717808567,986878.5257029808,202425.23866362,267,68,10,86,88
1.0,0.0,5.0,0.0967741935483871,1,0,0,40.684721325485015,-73.99099314732364,986747.99991336,188738.997253116,281,202,219,42,9
0.0,0.0,0.0,0.12962962962962962,0,1,0,40.765652953708326,-73.95956233519067,995451.546808947,218227.353891981,196,130,131,135,206
1.0,1.0,2.0,0.15759312320916904,0,1,0,40.71234051142413,-73.98401338497996,988681.961293362,198801.762263261,83,86,10,68,88
1.0,1.0,3.0,0.07293354943273905,0,1,0,40.78330470209375,-73.94590042008831,999232.031013895,224660.5185873769,160,139,31,304,187
0.0,0.0,1.0,0.034782608695652174,1,0,0,40.6695487629456,-73.95514049270359,996694.362275074,183214.2552842461,225,183,81,16,106
1.0,0.0,4.0,0.15800865800865802,1,0,0,40.68398224352315,-73.98029589827242,989714.8822832508,188470.2144562869,219,37,142,281,202
0.0,0.0,1.0,0.09859154929577464,0,1,0,40.763650862383216,-73.99088853436326,986774.022611783,217495.471742093,278,85,87,12,204
1.0,0.0,3.0,0.1191806331471136,0,1,0,40.70563924481953,-74.01297455017796,980652.710309582,196360.15069021305,67,171,88,335,184
1.0,1.0,3.6,0.040376850605652756,0,1,0,40.7326994232301,-73.98433603588042,988591.186585314,206219.125053675,203,215,337,237,325
1.0,1.0,0.0,0.13381995133819952,0,1,0,40.82717112326557,-73.90417221252942,1010770.51694183,240652.483198628,102,50,115,234,93
1.0,0.0,1.4,0.11173184357541899,1,0,0,40.66961786144547,-73.97892875909895,990095.313701381,183236.946416364,20,19,106,16,81
1.0,1.0,3.0,0.26545454545454544,0,0,1,40.75630321189787,-73.9250034525227,1005027.53997658,214827.245192824,260,249,277,27,170
1.0,0.0,2.0,0.027777777777777776,0,1,0,40.77506261083342,-73.98575391942335,988195.717400806,221653.340698571,341,13,343,159,82
0.0,0.0,3.0,0.03553299492385787,0,1,0,40.82709786972715,-73.90389928823154,1010846.07849419,240625.87701822,115,46,102,234,93
1.0,0.0,2.0,0.08450704225352113,0,1,0,40.87049916576592,-73.89721353643812,1012677.8192085,256440.70495689104,52,75,11,324,5
1.0,0.0,3.0,0.109375,0,1,0,40.87037728454207,-73.89693332298772,1012755.37051009,256396.389927408,51,75,11,324,5
0.0,0.0,2.0,0.1678832116788321,0,1,0,40.69516034262288,-73.9276167776118,1004321.93453375,192550.40128354105,286,308,147,58,22
0.0,0.0,1.0,0.037267080745341616,1,0,0,40.6847376010444,-73.94742289359158,998831.960232046,188749.174638685,224,14,240,312,220
1.0,1.0,1.0,0.06349206349206349,1,0,0,40.66701004128184,-73.89531840558097,1013290.55559155,182303.492873016,80,56,78,29,193
1.0,0.0,2.0,0.15139442231075698,1,0,0,40.66667170571423,-73.89522618782354,1013316.28587831,182180.258341711,78,55,80,29,193
1.0,0.0,1.0,0.22440944881889763,1,0,0,40.66557359290329,-73.912187667281,1008611.2455696,181775.012501662,6,66,302,336,323
1.0,0.0,2.0,0.016129032258064516,0,1,0,40.695779065814094,-73.91520280617459,1007764.12108793,192778.90875324,22,116,117,292,147
